full_text,sentiment
@BennyLoroUntu @pln Setuju agar para pemakai kendaraan listrik ga kesulitan mencari tempat pengisian bahan bahan bakar,positive
@Lentera1568 Siap beralih ke kendaraan Listrik,neutral
Halo #InsanDikti Ditjen Diktiristek bekerja sama dengan PT Industri Kereta Api (Persero) dalam pengembangan kendaraan listrik di lingkungan pendidikan tinggi. Saksikan acara penandatanganan kerja sama yang akan diadakan secara virtual. https://t.co/7cHasahN3E,neutral
@erickthohir tapi pak perbanyak kendaraan listrik bakal banyak limbah batere. dan itu lebih bahaya daripada polusi dengan jumlah kendaraan yang sama dengan saat ini. semoga banyak yang dididik untuk bisa ngolah limbah batere tersebut.,negative
Komitmen pemerintahan Presiden Joko Widodo untuk bertransformasi ke energi hijau dan pengurangan emisi karbon salah satunya adalah kendaraan listrik https://t.co/OmuMCz6tBy,neutral
Pemerintah terus berupaya mendongkrak penjualan Kendaraan Bermotor Listrik Berbasis baterai. Dia antaranya dengan menetapkan tarif bea masuk nol persen untuk kendaraan bermotor yang diimpor dalam kondisi tidak utuh dan tidak lengkap.,neutral
Demi memberikan komitmen terhadap percepatan kendaraan listrik di Indonesia Perusahaan Listrik Negara (@_pln_id) terus menghadirkan infrastruktur untuk menunjang kebutuhan para pengguna mobil listrik di Indonesia.Iconnet PLN Mobil #PLN https://t.co/C6rnTPabL0,neutral
Jokowi Inginkan 2 juta Kendaraan Listrik Seliweran pada 2025 Apa Persiapannya? https://t.co/VcxHBnA7w4 #TempoOtomotif,neutral
Kementerian Keuangan memberikan insentif berupa tarif khusus bea masuk nol persen untuk kendaraan bermotor listrik berbasis baterai (KBLBB) https://t.co/eaB0hxIBhP,neutral
Migas Makin Mahal Kendaraan Listrik Perlu Dikebut https://t.co/9iQzdYzqlm,neutral
Jokowi Targetkan 2 Juta Kendaraan Listrik Beredar Di Indonesia Tahun 2025. #kabarotocom #otonews #otoupdate #infootomotif #kabarotomotif https://t.co/IO6Z8Vey5C,neutral
@soen_cak @_pln_id setuju dengan adanya kerjasama tersebut untuk wujudkan ekosistem kendaraan listrik yang lebih luas,positive
Menperin Tetapkan Dua Peraturan Terkait Kendaraan Listrik. #kabarotocom #otonews #otoupdate #infootomotif #kabarotomotif https://t.co/lmcNyWjtQJ,neutral
@Keyaheze PLN sllu mengajak kerjasama buka SPKLU dan dapat membuka stasiun pengisian kendaraan listrik umum,neutral
@parwatyRizky @_pln_id Untuk memenuhi kebutuhan mendatang terkait kendaraan listrik,neutral
Dengan pakai OCTO Mobile aja kamu udah bisa bayar semua jenis tagihan mulai dari listrik air asuransi pajak kendaraan KTA CC dan lainnya. Jadi bebas pusing hemat waktu dan tenaga kan? OCTO Mobile #BeneranNyaman buat bayar ini-itu. Info kunjungi https://t.co/satnpdJfka https://t.co/vgOpRyyEbE,neutral
Sony Group Jepang akan mendirikan perusahaan kendaraan listrik baru https://t.co/iH2bIMeFn6,neutral
Sukseskan G20 Menhub Apresiasi Kolaborasi Dukungan Ekosistem Kendaraan Listrik di Bali https://t.co/hLWcYGLeBj,neutral
Jelang KTT G20 Ekosistem Kendaraan Listrik Dikebut.!! #BersamaLindungiNegeri https://t.co/cI5rft54Hc,neutral
Sukseskan G20 Menhub Apresiasi Kolaborasi Dukungan Ekosistem Kendaraan Listrik di Bali https://t.co/b1sCbRlqvo,neutral
Menjelang KTT G20 ekosistem kendaraan listrik mulai dikebut #BersamaLindungiNegeri https://t.co/F1aC6ux0CQ,neutral
Indika Gandeng IBC Foxconn dan Gogoro Garap Ekosistem Kendaraan Listrik https://t.co/k1IeinjytV,neutral
@Dnok_Ayu @_pln_id Jadi pengen beli kendaraan listrik,neutral
Kurangi Emisi Karbon Sambut G20 di Bali dengan Kendaraan Listrik https://t.co/ic2FlXGrEm,neutral
Menhub Apresiasi Kolaborasi Dukungan Ekosistem Kendaraan Listrik di Ajang KTT G20 https://t.co/0XYs0yFW0G,neutral
Ekosistem kendaraan listrik dipersiapkan untuk pelaksanaan KTT G20 di Bali. https://t.co/fUR4VGRGS5,neutral
Cara Swasta Dukung Indonesia Pimpin Pengembangan Kendaraan Listrik Dunia https://t.co/cXZzE0xHFJ,positive
@Dnok_Ayu @_pln_id Mantap...kini Medan menuju kendaraan bermotor listrik..,positive
Kolaborasi ekosistem kendaraan listrik ini melibatkan sejumlah pihak swasta termasuk Kemenhub dan Pemprov Bali untuk mendukung pelaksanaan KTT G20 2022 mendatang. https://t.co/z1Zlm2dm1W,neutral
@Dnok_Ayu @_pln_id Mantapp makin banyak spklu yang artinya siap menuju ekosistem kendaraan listrik,neutral
Electrum-Gogoro Kerja Sama Realisasikan Ekosistem Kendaraan Listrik https://t.co/zITqYgUaft https://t.co/xjXmZJeoul,neutral
PLN Beri Diskon 30 Persen Bagi Pemilik Kendaraan Listrik https://t.co/NleQ4jnlYU,neutral
Kolaborasi ekosistem kendaraan listrik tak akan berhenti usai G20. https://t.co/gAJlA5fi6y,neutral
Menhub Apresiasi Kolaborasi Dukung Ekosistem Kendaraan Listrik di Bali https://t.co/SHNNGACRWm,positive
Jelang KTT G20 Menhub Kebut Ekosistem Kendaraan Listrik https://t.co/oEZ0cVswMR,neutral
